egg_weight,egg_length,egg_breadth,bird_weight
7.4,28.8,21.84,5.2
7.7,29.04,22.45,5.4
7.9,29.36,22.48,5.6
7.5,30.1,21.71,5.3
8.3,30.17,22.75,5.9
8.5,30.34,22.84,5.8
8.2,30.36,22.5,5.8
8.3,30.46,22.72,6.0
9.0,30.54,23.31,6.1
8.5,30.62,22.94,6.2
8.6,30.7,23.18,6.5
8.2,30.71,22.51,5.7
8.3,30.86,22.52,6.2
8.7,30.87,23.35,6.4
8.5,30.89,22.78,6.2
8.4,30.9,22.81,6.1
8.5,31.0,23.09,6.3
8.9,31.06,23.42,6.3
9.1,31.07,23.82,6.5
8.9,31.14,23.7,6.0
8.6,31.18,22.92,5.6
8.5,31.41,22.79,6.2
8.8,31.46,22.86,6.3
8.3,31.47,22.35,5.8
8.2,31.5,22.19,5.7
8.2,31.5,22.4,6.0
8.9,31.55,23.17,6.4
8.5,31.56,22.54,5.9
8.8,31.68,22.82,6.4
8.6,31.81,22.68,6.2
9.1,31.98,23.21,7.1
9.0,32.06,23.1,6.5
8.9,32.14,22.87,5.8
9.2,32.16,23.34,6.4
9.1,32.3,23.2,6.4
8.6,32.53,22.68,6.1
8.8,32.54,22.5,6.2
9.1,32.66,23.14,6.8
9.2,32.72,23.25,6.3
9.2,32.78,23.23,6.4
8.9,32.98,22.94,6.4
9.1,33.15,23.02,6.6
9.9,33.3,23.7,7.1
9.0,33.73,22.72,6.3
